,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,NYY,BAL,5,23,10.245992743508353,8.5,9.0,3.0,OVER,6.0,666.0,OVER,100
1,ATL,SF,5,23,9.719296449510235,7.5,6.0,1.5,OVER,4.5,666.0,OVER,100
2,CWS,HOU,5,23,8.299051298030644,9.0,1.0,5.5,UNDER,4.5,666.0,OVER,-100
3,PHI,CHC,5,23,9.44806047599731,9.5,5.0,8.5,UNDER,3.5,666.0,OVER,-100
4,MIA,DET,5,23,10.212337883923832,9.0,8.0,5.5,OVER,2.5,666.0,OVER,100
5,COL,PIT,5,23,9.34949168113281,9.0,3.0,5.5,UNDER,2.5,666.0,OVER,-100
6,MIN,LAA,5,23,9.368409405094893,9.0,4.0,5.5,UNDER,1.5,666.0,OVER,-100
7,TB,CLE,5,23,9.81534612126375,9.5,7.0,8.5,UNDER,1.5,666.0,OVER,-100
8,WSH,NYM,5,23,9.13677472000125,7.5,2.0,1.5,OVER,0.5,666.0,OVER,100
