,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,SF,WSH,4,16,10.629685701219273,8.0,13.0,4.5,OVER,8.5,10.0,OVER,100
1,COL,SD,4,16,10.04642943694246,7.5,9.0,1.5,OVER,7.5,10.0,OVER,100
2,HOU,OAK,4,16,9.129843905255614,9.0,3.0,10.5,UNDER,7.5,10.0,OVER,-100
3,STL,MIL,4,16,9.162998004798359,9.0,4.0,10.5,UNDER,6.5,12.0,OVER,-100
4,NYM,PHI,4,16,9.181307329803328,9.0,5.0,10.5,UNDER,5.5,17.0,OVER,-100
5,PIT,DET,4,16,9.732531269714569,7.5,7.0,1.5,OVER,5.5,8.0,OVER,100
6,CLE,SEA,4,16,8.688703386056538,8.0,1.0,4.5,UNDER,3.5,6.0,UNDER,100
7,BOS,NYY,4,16,10.349938476348292,8.5,10.0,7.5,OVER,2.5,8.0,UNDER,-100
8,CHC,MIA,4,16,8.711573553167693,8.0,2.0,4.5,UNDER,2.5,4.0,UNDER,100
9,LAA,TEX,4,16,10.51612353914058,10.0,11.0,13.0,UNDER,2.0,5.0,UNDER,100
10,KC,CWS,4,16,10.524052167064287,9.0,12.0,10.5,OVER,1.5,6.0,UNDER,-100
11,BAL,TB,4,16,9.61848824912476,8.0,6.0,4.5,OVER,1.5,6.0,UNDER,-100
12,ARI,ATL,4,16,10.039384734699693,8.5,8.0,7.5,OVER,0.5,15.0,OVER,100
