,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIN,NYY,5,3,10.148688753777467,7.5,10.0,2.0,OVER,8.0,9.0,OVER,100
1,TB,BAL,5,3,9.322410975968108,9.5,3.0,10.0,UNDER,7.0,7.0,UNDER,100
2,WSH,PHI,5,3,9.376065013669256,9.5,4.0,10.0,UNDER,6.0,6.0,UNDER,100
3,ARI,COL,5,3,9.559817485660387,11.0,6.0,12.0,UNDER,6.0,19.0,OVER,-100
4,BOS,CWS,5,3,10.086462841134967,8.0,9.0,5.0,OVER,4.0,7.0,UNDER,-100
5,ATL,MIA,5,3,7.9861384509367825,8.0,1.0,5.0,UNDER,4.0,9.0,OVER,-100
6,SEA,CLE,5,3,10.460808036101794,8.5,11.0,7.5,OVER,3.5,3.0,UNDER,-100
7,STL,CHC,5,3,9.558210080087514,7.5,5.0,2.0,OVER,3.0,4.0,UNDER,-100
8,TOR,TEX,5,3,11.256332654478712,9.5,12.0,10.0,OVER,2.0,1.0,UNDER,-100
9,OAK,PIT,5,3,9.634793126884848,8.0,7.0,5.0,OVER,2.0,15.0,OVER,100
10,KC,DET,5,3,9.863825004167477,8.5,8.0,7.5,OVER,0.5,7.0,UNDER,-100
11,LAD,SD,5,3,8.515163412577778,7.5,2.0,2.0,OVER,0.0,7.0,UNDER,-100
