,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,WSH,LAD,5,10,10.244745918282863,8.0,12.0,4.0,OVER,8.0,5.0,UNDER,-100
1,CWS,TOR,5,10,9.083840462633232,9.5,3.0,11.0,UNDER,8.0,7.0,UNDER,100
2,TEX,HOU,5,10,8.73567488412532,8.5,1.0,6.5,UNDER,5.5,3.0,UNDER,100
3,MIA,NYM,5,10,9.670219292013314,7.0,7.0,2.0,OVER,5.0,13.0,OVER,100
4,LAA,BAL,5,10,9.928244438253452,11.0,10.0,14.0,UNDER,4.0,11.0,PUSH,0
5,CIN,SF,5,10,9.090806264232661,7.0,4.0,2.0,OVER,2.0,7.0,PUSH,0
6,PHI,KC,5,10,10.138642953083606,9.0,11.0,9.5,OVER,1.5,6.0,UNDER,-100
7,PIT,STL,5,10,9.851775160089362,8.5,8.0,6.5,OVER,1.5,3.0,UNDER,-100
8,SEA,BOS,5,10,11.478837226628336,10.0,14.0,12.5,OVER,1.5,15.0,OVER,100
9,CLE,OAK,5,10,9.46941837369122,8.5,5.0,6.5,UNDER,1.5,7.0,UNDER,100
10,DET,MIN,5,10,9.870308418866717,9.0,9.0,9.5,UNDER,0.5,6.0,UNDER,100
11,ATL,ARI,5,10,9.542482497323409,8.5,6.0,6.5,UNDER,0.5,3.0,UNDER,100
12,SD,COL,5,10,10.737339497528893,10.0,13.0,12.5,OVER,0.5,14.0,OVER,100
13,NYY,TB,5,10,9.079987183490706,7.0,2.0,2.0,OVER,0.0,7.0,PUSH,0
