,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIN,SEA,5,18,9.141239264344149,9.5,2.0,7.5,UNDER,5.5,22.0,OVER,-100
1,KC,LAA,5,18,10.187939629435325,9.0,11.0,5.5,OVER,5.5,9.0,PUSH,0
2,OAK,DET,5,18,9.915035229552087,9.0,9.0,5.5,OVER,3.5,5.0,UNDER,-100
3,HOU,BOS,5,18,9.86281449669217,10.5,8.0,11.0,UNDER,3.0,10.0,UNDER,100
4,TB,NYY,5,18,9.810545832571133,8.5,6.0,3.0,OVER,3.0,3.0,UNDER,-100
5,MIL,ATL,5,18,9.584084451689698,9.5,5.0,7.5,UNDER,2.5,7.0,UNDER,100
6,LAD,CIN,5,18,9.840187032242973,10.0,7.0,9.5,UNDER,2.5,4.0,UNDER,100
7,CHC,WSH,5,18,9.380268629231988,8.5,4.0,3.0,OVER,1.0,7.0,UNDER,-100
8,COL,PHI,5,18,10.143997576384148,10.0,10.0,9.5,OVER,0.5,3.0,UNDER,-100
9,SF,ARI,5,18,9.30919352534835,8.5,3.0,3.0,OVER,0.0,13.0,OVER,100
10,NYM,MIA,5,18,8.230627490505688,7.5,1.0,1.0,OVER,0.0,2.0,UNDER,-100
11,STL,TEX,5,18,10.958918062887216,12.5,12.0,12.0,OVER,0.0,10.0,UNDER,-100
