,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,NYM,SD,5,7,9.909046553745897,7.5,11.0,2.5,OVER,8.5,13.0,OVER,100
1,KC,HOU,5,7,9.01337004107644,9.5,3.0,10.5,UNDER,7.5,14.0,OVER,-100
2,MIA,CHC,5,7,9.681129207466943,6.5,8.0,1.0,OVER,7.0,7.0,OVER,100
3,CWS,CLE,5,7,9.987898051903722,8.5,12.0,5.5,OVER,6.5,2.0,UNDER,-100
4,MIN,TOR,5,7,8.71438653232404,9.0,2.0,8.0,UNDER,6.0,3.0,UNDER,100
5,ATL,LAD,5,7,9.396823664981381,7.5,7.0,2.5,OVER,4.5,9.0,OVER,100
6,WSH,MIL,5,7,8.6633342709502,8.0,1.0,4.0,UNDER,3.0,6.0,UNDER,100
7,CIN,OAK,5,7,9.233989454357491,9.0,5.0,8.0,UNDER,3.0,2.0,UNDER,100
8,BOS,BAL,5,7,9.760754702655678,10.0,10.0,12.5,UNDER,2.5,13.0,OVER,-100
9,PHI,STL,5,7,9.379845562373244,9.0,6.0,8.0,UNDER,2.0,12.0,OVER,-100
10,SEA,NYY,5,7,9.740280508450821,9.5,9.0,10.5,UNDER,1.5,9.0,UNDER,100
11,TEX,PIT,5,7,9.2339029368469,8.5,4.0,5.5,UNDER,1.5,9.0,OVER,-100
12,SF,COL,5,7,10.776240394821356,10.0,13.0,12.5,OVER,0.5,18.0,OVER,100
