,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIA,PHI,4,25,10.698916631479227,7.5,7.0,2.5,OVER,4.5,4.0,UNDER,-100
1,DET,BOS,4,25,10.363656385763315,9.5,4.0,7.0,UNDER,3.0,10.0,OVER,-100
2,NYY,LAA,4,25,9.717235504270539,8.0,2.0,4.0,UNDER,2.0,16.0,OVER,-100
3,ARI,PIT,4,25,9.928658216091893,7.0,3.0,1.0,OVER,2.0,5.0,UNDER,-100
4,CLE,HOU,4,25,8.703532285402991,7.5,1.0,2.5,UNDER,1.5,3.0,UNDER,100
5,LAD,CHC,4,25,10.658887486166511,8.5,6.0,5.0,OVER,1.0,3.0,UNDER,-100
6,ATL,CIN,4,25,10.544109774377153,9.0,5.0,6.0,UNDER,1.0,6.0,UNDER,100
