,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,NYY,TOR,6,6,8.924226939539704,10.0,1.0,9.5,UNDER,8.5,8.0,UNDER,100
1,WSH,SD,6,6,9.65881587463278,7.5,6.0,1.5,OVER,4.5,9.0,OVER,100
2,ATL,PIT,6,6,9.352121407013104,9.5,3.0,7.5,UNDER,4.5,7.0,UNDER,100
3,MIN,CLE,6,6,9.771340069544864,8.5,7.0,4.0,OVER,3.0,9.0,OVER,100
4,CIN,STL,6,6,10.038780082273222,9.0,8.0,6.0,OVER,2.0,4.0,UNDER,-100
5,OAK,LAA,6,6,10.237937557260537,9.5,9.0,7.5,OVER,1.5,11.0,OVER,100
6,TB,DET,6,6,9.649331349228092,8.5,5.0,4.0,OVER,1.0,7.0,UNDER,-100
7,BOS,KC,6,6,10.311145067931383,10.0,10.0,9.5,OVER,0.5,12.0,OVER,100
8,SF,NYM,6,6,9.02254596800607,7.5,2.0,1.5,OVER,0.5,10.0,OVER,100
9,BAL,TEX,6,6,10.5409011791149,11.0,11.0,11.0,OVER,0.0,7.0,UNDER,-100
10,MIA,MIL,6,6,9.435245790045537,8.5,4.0,4.0,OVER,0.0,6.0,UNDER,-100
