,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,HOU,DET,5,14,9.377138968688117,10.5,2.0,15.0,UNDER,13.0,15.0,OVER,-100
1,CLE,CWS,5,14,10.581750990715737,8.0,14.0,4.5,OVER,9.5,9.0,OVER,100
2,NYM,WSH,5,14,10.538069932477946,8.0,13.0,4.5,OVER,8.5,8.0,PUSH,0
3,BAL,NYY,5,14,10.687803026308194,8.5,15.0,7.0,OVER,8.0,8.5,PUSH,0
4,OAK,SEA,5,14,9.559736882340783,9.0,4.0,10.5,UNDER,6.5,7.0,UNDER,100
5,TEX,KC,5,14,10.063787443635796,9.5,9.0,13.5,UNDER,4.5,16.0,OVER,-100
6,COL,BOS,5,14,10.136601875785713,8.5,11.0,7.0,OVER,4.0,9.0,OVER,100
7,PIT,ARI,5,14,9.895405484415333,9.0,7.0,10.5,UNDER,3.5,8.0,UNDER,100
8,LAA,MIN,5,14,9.983851168958482,9.0,8.0,10.5,UNDER,2.5,7.0,UNDER,100
9,TOR,SF,5,14,9.778810777060645,7.5,5.0,3.0,OVER,2.0,10.0,OVER,100
10,CHC,CIN,5,14,10.442639792587462,9.5,12.0,13.5,UNDER,1.5,4.0,UNDER,100
11,SD,LAD,5,14,9.4235857083664,7.0,3.0,2.0,OVER,1.0,9.0,OVER,100
12,MIL,PHI,5,14,9.779421394058446,8.5,6.0,7.0,UNDER,1.0,7.0,UNDER,100
13,STL,ATL,5,14,10.131907992122237,9.0,10.0,10.5,UNDER,0.5,17.0,OVER,-100
14,TB,MIA,5,14,8.504912055494948,6.5,1.0,1.0,OVER,0.0,4.0,UNDER,-100
