,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,KC,CWS,5,28,10.97830094970008,8.0,12.0,3.0,OVER,9.0,7.0,UNDER,-100
1,TEX,SEA,5,28,9.404597240354288,10.0,3.0,10.0,UNDER,7.0,15.0,OVER,-100
2,NYM,LAD,5,28,10.229241432765392,8.0,8.0,3.0,OVER,5.0,10.0,OVER,100
3,CHC,HOU,5,28,8.785176010784388,9.0,2.0,6.5,UNDER,4.5,15.0,OVER,-100
4,DET,BAL,5,28,10.459342433193676,9.0,10.0,6.5,OVER,3.5,3.0,UNDER,-100
5,ARI,COL,5,28,10.38651421598259,11.5,9.0,12.0,UNDER,3.0,8.0,UNDER,100
6,SD,NYY,5,28,10.013619190036376,9.5,6.0,9.0,UNDER,3.0,9.0,UNDER,100
7,WSH,ATL,5,28,9.884810503121617,9.0,4.0,6.5,UNDER,2.5,9.0,PUSH,0
8,KC,CWS,5,28,9.925491721862944,8.0,5.0,3.0,OVER,2.0,7.0,UNDER,-100
9,LAA,OAK,5,28,10.084609721323028,9.0,7.0,6.5,OVER,0.5,10.0,OVER,100
10,STL,PHI,5,28,10.749836183370707,10.5,11.0,11.0,OVER,0.0,7.0,UNDER,-100
11,SF,MIA,5,28,8.352544228960197,7.5,1.0,1.0,OVER,0.0,14.0,OVER,100
