,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,STL,CHC,6,8,10.447563552925095,8.0,15.0,3.5,OVER,11.5,13.0,OVER,100
1,PIT,MIL,6,8,9.051228930473057,9.5,4.0,12.0,UNDER,8.0,8.0,UNDER,100
2,WSH,SD,6,8,9.936852302170387,7.5,9.0,1.5,OVER,7.5,5.0,UNDER,-100
3,CIN,PHI,6,8,10.530915288871489,9.0,16.0,9.5,OVER,6.5,5.0,UNDER,-100
4,OAK,TEX,6,8,10.038459757421963,11.5,11.0,16.0,UNDER,5.0,4.0,UNDER,100
5,BAL,HOU,6,8,8.767200291122588,8.5,2.0,6.5,UNDER,4.5,5.0,UNDER,100
6,LAD,SF,6,8,9.021607889595616,8.5,3.0,6.5,UNDER,3.5,9.0,OVER,-100
7,SEA,LAA,6,8,9.93924710419089,9.5,10.0,12.0,UNDER,2.0,15.0,OVER,-100
8,NYY,CLE,6,8,10.069384442522603,10.0,12.0,14.0,UNDER,2.0,12.0,OVER,-100
9,TB,BOS,6,8,9.87224900262849,9.0,8.0,9.5,UNDER,1.5,6.0,UNDER,100
10,COL,NYM,6,8,9.070106278648938,8.0,5.0,3.5,OVER,1.5,8.0,PUSH,0
11,TB,BOS,6,8,10.15507141509862,10.5,14.0,15.0,UNDER,1.0,11.0,OVER,-100
12,MIN,DET,6,8,10.092929975782797,9.5,13.0,12.0,OVER,1.0,12.0,OVER,100
13,CWS,KC,6,8,9.740371867747596,8.5,7.0,6.5,OVER,0.5,2.0,UNDER,-100
14,ARI,TOR,6,8,9.289231299289408,8.5,6.0,6.5,UNDER,0.5,6.0,UNDER,100
15,ATL,MIA,6,8,8.595448408046693,7.5,1.0,1.5,UNDER,0.5,1.0,UNDER,100
