,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIA,SD,6,2,10.053508786284523,8.0,10.0,2.0,OVER,8.0,12.0,OVER,100
1,NYM,ARI,6,2,9.530784262271169,9.0,2.0,7.0,UNDER,5.0,8.0,UNDER,100
2,CHC,STL,6,2,9.598585437600377,9.0,3.0,7.0,UNDER,4.0,3.0,UNDER,100
3,HOU,OAK,6,2,9.756857560122251,7.5,5.0,1.0,OVER,4.0,10.0,OVER,100
4,MIN,TB,6,2,8.754421191857631,8.5,1.0,3.5,UNDER,2.5,16.0,OVER,-100
5,SF,BAL,6,2,10.03298241684901,10.0,9.0,10.5,UNDER,1.5,9.0,UNDER,100
6,MIL,PIT,6,2,9.77672342881812,9.0,6.0,7.0,UNDER,1.0,6.0,UNDER,100
7,PHI,LAD,6,2,10.021809870125248,9.0,8.0,7.0,OVER,1.0,8.0,UNDER,-100
8,BOS,NYY,6,2,10.190465874229751,10.0,11.0,10.5,OVER,0.5,13.0,OVER,100
9,WSH,CIN,6,2,9.660982983216323,8.5,4.0,3.5,OVER,0.5,5.0,UNDER,-100
10,DET,ATL,6,2,9.940901346301297,9.0,7.0,7.0,OVER,0.0,11.0,OVER,100
11,KC,TEX,6,2,10.492574784741182,11.0,12.0,12.0,OVER,0.0,6.0,UNDER,-100
12,TOR,COL,6,2,10.807523301721863,12.5,13.0,13.0,OVER,0.0,6.0,UNDER,-100
