,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIA,SD,6,1,9.996217165601523,8.0,12.0,3.5,OVER,8.5,12.0,OVER,100
1,CLE,CWS,6,1,9.730590359280235,10.5,7.0,12.0,UNDER,5.0,7.0,UNDER,100
2,MIL,PIT,6,1,8.969291940124315,9.0,2.0,6.5,UNDER,4.5,22.0,OVER,-100
3,WSH,CIN,6,1,9.534807944738583,10.0,6.0,10.0,UNDER,4.0,7.0,UNDER,100
4,PHI,LAD,6,1,9.830353890903533,8.5,8.0,5.0,OVER,3.0,7.0,UNDER,-100
5,NYM,ARI,6,1,9.430682771450348,7.5,4.0,1.5,OVER,2.5,11.0,OVER,100
6,MIN,TB,6,1,8.670507572510465,8.0,1.0,3.5,UNDER,2.5,8.0,PUSH,0
7,BOS,NYY,6,1,9.966068124451775,9.5,11.0,8.5,OVER,2.5,8.0,UNDER,-100
8,SF,BAL,6,1,9.928551505431832,10.5,10.0,12.0,UNDER,2.0,10.0,UNDER,100
9,KC,TEX,6,1,11.00722449047016,10.5,14.0,12.0,OVER,2.0,8.0,UNDER,-100
10,CHC,STL,6,1,9.493366364616724,9.0,5.0,6.5,UNDER,1.5,11.0,OVER,-100
11,HOU,OAK,6,1,9.412444473526826,7.5,3.0,1.5,OVER,1.5,6.0,UNDER,-100
12,TOR,COL,6,1,10.732565189520543,11.0,13.0,14.0,UNDER,1.0,6.0,UNDER,100
13,DET,ATL,6,1,9.864879092616466,9.5,9.0,8.5,OVER,0.5,15.0,OVER,100
