,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,ATL,ARI,5,12,9.120823655820328,9.0,3.0,9.0,UNDER,6.0,8.0,UNDER,100
1,CWS,TOR,5,12,9.057892042029794,8.5,1.0,7.0,UNDER,6.0,6.0,UNDER,100
2,LAA,BAL,5,12,10.4074025920095,8.0,11.0,5.0,OVER,6.0,6.0,UNDER,-100
3,DET,MIN,5,12,10.267110152332107,8.5,10.0,7.0,OVER,3.0,8.0,UNDER,-100
4,MIL,CHC,5,12,9.775255782122306,7.5,6.0,3.5,OVER,2.5,5.0,UNDER,-100
5,NYY,TB,5,12,9.266050812939444,7.0,4.0,1.5,OVER,2.5,8.0,OVER,100
6,SD,COL,5,12,10.102274358099825,12.0,9.0,11.0,UNDER,2.0,17.0,OVER,-100
7,SEA,BOS,5,12,9.924389951571351,10.0,8.0,10.0,UNDER,2.0,13.0,OVER,-100
8,WSH,LAD,5,12,9.564479121065796,7.5,5.0,3.5,OVER,1.5,6.0,UNDER,-100
9,CIN,SF,5,12,9.076455707566756,7.0,2.0,1.5,OVER,0.5,11.0,OVER,100
10,PIT,STL,5,12,9.90559153155985,8.5,7.0,7.0,OVER,0.0,16.0,OVER,100
