,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,LAD,CIN,5,17,10.023448557751859,10.0,5.0,14.0,UNDER,9.0,6.0,UNDER,100
1,TOR,CWS,5,17,10.54847815071248,9.0,12.0,6.5,OVER,5.5,12.0,OVER,100
2,TB,NYY,5,17,10.091162088896004,9.5,6.0,11.5,UNDER,5.5,7.0,UNDER,100
3,PIT,SD,5,17,10.115240405919042,7.0,7.0,2.0,OVER,5.0,8.0,OVER,100
4,OAK,DET,5,17,10.429013404041259,9.0,11.0,6.5,OVER,4.5,9.0,PUSH,0
5,SF,ARI,5,17,9.669490413913513,9.0,2.0,6.5,UNDER,4.5,7.0,UNDER,100
6,MIN,SEA,5,17,9.820196882009123,9.0,3.0,6.5,UNDER,3.5,8.0,UNDER,100
7,HOU,BOS,5,17,12.135980379990427,9.5,15.0,11.5,OVER,3.5,4.0,UNDER,-100
8,BAL,CLE,5,17,10.329213271343798,9.0,10.0,6.5,OVER,3.5,6.0,UNDER,-100
9,MIL,ATL,5,17,10.27760647567704,9.5,9.0,11.5,UNDER,2.5,20.0,OVER,-100
10,COL,PHI,5,17,10.179646096491917,9.0,8.0,6.5,OVER,1.5,9.0,PUSH,0
11,KC,LAA,5,17,10.818246173458938,9.5,13.0,11.5,OVER,1.5,7.0,UNDER,-100
12,CHC,WSH,5,17,10.017048843696687,8.0,4.0,3.0,OVER,1.0,20.0,OVER,100
13,STL,TEX,5,17,11.038862438972457,11.5,14.0,15.0,UNDER,1.0,10.0,UNDER,100
14,NYM,MIA,5,17,8.708477206298454,6.5,1.0,1.0,OVER,0.0,14.0,OVER,100
