,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,TB,CLE,5,26,10.611767913219015,8.5,10.0,3.5,OVER,6.5,9.0,OVER,100
1,CIN,CHC,5,26,10.02859595867118,7.5,7.0,1.5,OVER,5.5,12.0,OVER,100
2,CWS,MIN,5,26,9.857985521291699,10.0,6.0,10.0,UNDER,4.0,7.0,UNDER,100
3,PHI,MIL,5,26,8.762335165058229,9.0,3.0,6.0,UNDER,3.0,10.0,OVER,-100
4,LAD,PIT,5,26,8.84947386595802,9.0,4.0,6.0,UNDER,2.0,18.0,OVER,-100
5,BOS,HOU,5,26,8.671362474230161,8.5,2.0,3.5,UNDER,1.5,5.0,UNDER,100
6,ATL,STL,5,26,9.543112993193551,9.0,5.0,6.0,UNDER,1.0,7.0,UNDER,100
7,DET,NYM,5,26,8.564478738313369,7.5,1.0,1.5,UNDER,0.5,7.0,UNDER,100
8,SEA,OAK,5,26,10.110208604109443,9.5,8.0,8.5,UNDER,0.5,8.0,UNDER,100
9,NYY,KC,5,26,10.12568993326518,9.5,9.0,8.5,OVER,0.5,15.0,OVER,100
10,BAL,COL,5,26,10.916164856426189,12.0,11.0,11.0,OVER,0.0,15.0,OVER,100
