,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIA,SD,5,31,10.146648897176178,7.0,12.0,1.0,OVER,11.0,7.0,PUSH,0
1,MIL,PIT,5,31,9.52112908104451,9.5,3.0,11.5,UNDER,8.5,13.0,OVER,-100
2,LAA,SEA,5,31,9.582234892169746,9.5,4.0,11.5,UNDER,7.5,7.0,UNDER,100
3,SF,BAL,5,31,10.197076067609224,9.0,13.0,7.0,OVER,6.0,15.0,OVER,100
4,CLE,CWS,5,31,9.736917029026896,10.0,8.0,13.0,UNDER,5.0,7.0,UNDER,100
5,BOS,NYY,5,31,10.054864797273616,9.0,11.0,7.0,OVER,4.0,5.0,UNDER,-100
6,PHI,LAD,5,31,9.995525264387128,9.0,10.0,7.0,OVER,3.0,9.0,PUSH,0
7,DET,ATL,5,31,9.628295782188447,9.0,5.0,7.0,UNDER,2.0,10.0,OVER,-100
8,WSH,CIN,5,31,9.816595355494073,9.0,9.0,7.0,OVER,2.0,12.0,OVER,100
9,MIN,TB,5,31,8.577328546040047,8.0,1.0,2.0,UNDER,1.0,8.0,PUSH,0
10,CHC,STL,5,31,9.640061667988991,9.0,6.0,7.0,UNDER,1.0,3.0,UNDER,100
11,HOU,OAK,5,31,9.432544633318106,8.5,2.0,3.0,UNDER,1.0,5.0,UNDER,100
12,KC,TEX,5,31,10.224750252536376,10.5,14.0,14.0,OVER,0.0,8.0,UNDER,-100
13,TOR,COL,5,31,11.012327674513614,11.5,15.0,15.0,OVER,0.0,19.0,OVER,100
14,NYM,ARI,5,31,9.695834642241822,9.0,7.0,7.0,OVER,0.0,9.0,PUSH,0
