,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,WSH,LAD,5,11,9.743785632589724,7.0,10.0,1.5,OVER,8.5,7.0,PUSH,0
1,TEX,HOU,5,11,9.026538682928075,9.0,2.0,10.0,UNDER,8.0,15.0,OVER,-100
2,PIT,STL,5,11,9.845410108676344,7.5,11.0,4.0,OVER,7.0,3.0,UNDER,-100
3,NYY,TB,5,11,8.481852422860893,8.5,1.0,7.5,UNDER,6.5,9.0,OVER,-100
4,SEA,BOS,5,11,9.70879538648759,11.5,9.0,15.0,UNDER,6.0,14.0,OVER,-100
5,MIA,NYM,5,11,9.274903149042562,7.0,7.0,1.5,OVER,5.5,5.0,UNDER,-100
6,CWS,TOR,5,11,9.040279250522136,8.5,4.0,7.5,UNDER,3.5,9.0,OVER,-100
7,PHI,KC,5,11,9.851151983885993,9.0,12.0,10.0,OVER,2.0,7.0,UNDER,-100
8,ATL,ARI,5,11,9.356212199122217,9.0,8.0,10.0,UNDER,2.0,10.0,OVER,-100
9,LAA,BAL,5,11,9.903813175325745,9.5,14.0,12.5,OVER,1.5,9.0,UNDER,-100
10,CIN,SF,5,11,9.033042539972453,7.5,3.0,4.0,UNDER,1.0,9.0,OVER,-100
11,SD,COL,5,11,10.400631484326254,10.0,15.0,14.0,OVER,1.0,7.0,UNDER,-100
12,MIL,CHC,5,11,9.201034397289623,7.5,5.0,4.0,OVER,1.0,3.0,UNDER,-100
13,DET,MIN,5,11,9.894693421192477,9.5,13.0,12.5,OVER,0.5,8.0,UNDER,-100
14,CLE,OAK,5,11,9.237339382976616,8.0,6.0,6.0,OVER,0.0,5.0,UNDER,-100
