,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,SF,CIN,5,4,10.886837511770484,8.5,12.0,5.0,OVER,7.0,11.0,OVER,100
1,SEA,CLE,5,4,10.47843282353358,8.5,10.0,5.0,OVER,5.0,9.0,OVER,100
2,MIN,NYY,5,4,9.855423367830456,9.0,5.0,8.5,UNDER,3.5,10.0,OVER,-100
3,ARI,COL,5,4,10.251166338630444,10.5,9.0,12.0,UNDER,3.0,11.0,OVER,-100
4,KC,DET,5,4,10.046338004444593,9.0,6.0,8.5,UNDER,2.5,18.0,OVER,-100
5,TB,BAL,5,4,10.082130370474008,9.0,7.0,8.5,UNDER,1.5,3.0,UNDER,100
6,STL,CHC,5,4,9.80380589796266,8.5,4.0,5.0,UNDER,1.0,11.0,OVER,-100
7,OAK,PIT,5,4,9.712289346131344,7.5,2.0,1.5,OVER,0.5,10.0,OVER,100
8,ATL,MIA,5,4,8.096429731148147,7.5,1.0,1.5,UNDER,0.5,11.0,OVER,-100
9,BOS,CWS,5,4,10.227569644309137,9.0,8.0,8.5,UNDER,0.5,17.0,OVER,-100
10,WSH,PHI,5,4,9.721284731184369,8.0,3.0,3.0,OVER,0.0,18.0,OVER,100
11,TOR,TEX,5,4,10.825068200825577,10.0,11.0,11.0,OVER,0.0,13.0,OVER,100
