,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,KC,LAA,5,19,10.30204464241198,8.5,14.0,4.5,OVER,9.5,6.0,UNDER,-100
1,PIT,SD,5,19,9.87981863929816,8.0,10.0,2.5,OVER,7.5,10.0,OVER,100
2,COL,PHI,5,19,9.522208681463848,10.0,6.0,12.0,UNDER,6.0,12.0,OVER,-100
3,OAK,DET,5,19,9.846415264975027,10.5,8.0,14.0,UNDER,6.0,10.5,PUSH,0
4,TOR,CWS,5,19,10.358537074760788,9.5,15.0,9.5,OVER,5.5,7.0,UNDER,-100
5,TB,NYY,5,19,9.101828004343577,9.0,2.0,7.0,UNDER,5.0,18.0,OVER,-100
6,CHC,WSH,5,19,9.852910076245918,10.0,9.0,12.0,UNDER,3.0,11.0,OVER,-100
7,STL,TEX,5,19,10.25100714944084,11.0,12.0,15.0,UNDER,3.0,9.0,UNDER,100
8,MIL,ATL,5,19,9.429698810220357,9.0,4.0,7.0,UNDER,3.0,5.0,UNDER,100
9,SF,ARI,5,19,9.445758981520648,8.0,5.0,2.5,OVER,2.5,5.0,UNDER,-100
10,MIN,SEA,5,19,9.37509245812367,8.5,3.0,4.5,UNDER,1.5,11.0,OVER,-100
11,HOU,BOS,5,19,9.952939640611866,9.5,11.0,9.5,OVER,1.5,7.0,UNDER,-100
12,BAL,CLE,5,19,10.292096606557237,10.0,13.0,12.0,OVER,1.0,10.0,PUSH,0
13,LAD,CIN,5,19,9.539988751974652,9.0,7.0,7.0,OVER,0.0,11.0,OVER,100
14,NYM,MIA,5,19,8.499086955852556,7.0,1.0,1.0,OVER,0.0,3.0,UNDER,-100
