,game.away.abbr,game.away.errors,game.away.hits,game.away.id,game.away.loss,game.away.market,game.away.name,game.away.probable_pitcher.era,game.away.probable_pitcher.first_name,game.away.probable_pitcher.id,game.away.probable_pitcher.jersey_number,game.away.probable_pitcher.last_name,game.away.probable_pitcher.loss,game.away.probable_pitcher.preferred_name,game.away.probable_pitcher.win,game.away.runs,game.away.win,game.away_team,game.broadcast.network,game.coverage,game.day_night,game.double_header,game.game_number,game.home.abbr,game.home.errors,game.home.hits,game.home.id,game.home.loss,game.home.market,game.home.name,game.home.probable_pitcher.era,game.home.probable_pitcher.first_name,game.home.probable_pitcher.id,game.home.probable_pitcher.jersey_number,game.home.probable_pitcher.last_name,game.home.probable_pitcher.loss,game.home.probable_pitcher.preferred_name,game.home.probable_pitcher.win,game.home.runs,game.home.win,game.home_team,game.id,game.scheduled,game.status,game.venue.address,game.venue.capacity,game.venue.city,game.venue.country,game.venue.field_orientation,game.venue.id,game.venue.location.lat,game.venue.location.lng,game.venue.market,game.venue.name,game.venue.stadium_type,game.venue.state,game.venue.surface,game.venue.zip,game.weather.forecast.cloud_cover,game.weather.forecast.condition,game.weather.forecast.dew_point_f,game.weather.forecast.humidity,game.weather.forecast.obs_time,game.weather.forecast.temp_f,game.weather.forecast.wind.direction,game.weather.forecast.wind.speed_mph
0,MIA,0,0,03556285-bdbb-4576-a06d-42f71f46ddc5,19,Miami,Marlins,4.443,Pablo,2d8de314-4980-4f1a-97b5-279261ceb111,49,Lopez,3.0,Pablo,2.0,0,8,03556285-bdbb-4576-a06d-42f71f46ddc5,NBCS-PH,full,D,False,1,PHI,0,0,2142e1ba-3b40-445c-b8bb-f1f8b1054220,12,Philadelphia,Phillies,4.154,Zachary,dc22b8c1-fc07-4f68-ae4c-254e9dcc74c1,56,Eflin,3.0,Zach,2.0,0,15,2142e1ba-3b40-445c-b8bb-f1f8b1054220,d413749c-81bc-4cfb-b060-42714e4e9a27,2019-04-28T17:05:00+00:00,scheduled,One Citizens Bank Way,43647,Philadelphia,USA,NE,b4186004-b6d0-42e7-8dc1-82ef0d946ecc,39.9059929,-75.1666401,Philadelphia,Citizens Bank Park,outdoor,PA,grass,19148,85,Overcast,44,63,2019-04-28T11:38:14.000Z,57,SE,8
1,OAK,0,0,27a59d3b-ff7c-48ea-b016-4798f560f5e1,15,Oakland,Athletics,0.0,Christopher,90fa044f-7148-414c-af09-e0d4eb621775,40,Bassitt,0.0,Chris,1.0,0,14,27a59d3b-ff7c-48ea-b016-4798f560f5e1,SN1,full,D,False,1,TOR,0,0,1d678440-b4b1-4954-9b39-70afb3ebbcfa,14,Toronto,Blue Jays,5.786,Trent,c7513e8c-c4a0-4ece-8815-cd2889c61226,57,Thornton,3.0,Trent,0.0,0,13,1d678440-b4b1-4954-9b39-70afb3ebbcfa,f0c0fb51-cb2c-4491-bc60-d74c34f052f0,2019-04-28T17:07:00+00:00,scheduled,One Blue Jays Way,53506,Toronto,CAN,N,84d72338-2173-4a90-9d25-99adc6c86f4b,43.6417388,-79.3892547,Toronto,Rogers Centre,retractable,ON,turf,M5V1J3,0,Sunny,23,40,2019-04-28T11:38:15.000Z,46,NNW,11
2,MIL,0,0,dcfd5266-00ce-442c-bc09-264cd20cf455,13,Milwaukee,Brewers,,Giovany,0d674411-7f4d-4bc0-ba7a-853458580bab,47,González,,Gio,,0,15,dcfd5266-00ce-442c-bc09-264cd20cf455,WPIX,full,D,False,1,NYM,0,0,f246a5e5-afdb-479c-9aaa-c68beeda7af6,13,New York,Mets,4.03,Steven,03fda22a-f8a3-45e8-80dc-bf8190a22020,32,Matz,1.0,Steven,2.0,0,13,f246a5e5-afdb-479c-9aaa-c68beeda7af6,5d8f94e9-eb37-4d18-99b0-5b697a9f2979,2019-04-28T17:10:00+00:00,scheduled,123-01 Roosevelt Avenue,41922,"Flushing, Queens",USA,NE,265c7d6c-427a-4b8a-8def-392c41954bec,40.7564124,-73.84589369999999,New York,Citi Field,outdoor,NY,grass,11368,100,Moderate rain,38,68,2019-04-28T11:38:12.000Z,48,SSE,7
3,COL,0,0,29dd9a87-5bcc-4774-80c3-7f50d985068b,14,Colorado,Rockies,12.0,Tyler,a920073f-154b-4173-a8ff-aed0b2c22711,44,Anderson,2.0,Tyler,0.0,0,13,29dd9a87-5bcc-4774-80c3-7f50d985068b,FS-SO,full,D,False,1,ATL,0,0,12079497-e414-450a-8bf2-29f91de646bf,14,Atlanta,Braves,3.96,Kevin,cef2e01f-1349-4e31-bf1e-757ae8cb6bc6,45,Gausman,2.0,Kevin,1.0,0,12,12079497-e414-450a-8bf2-29f91de646bf,d8ae4607-3a70-46db-ad8f-160d3f335433,2019-04-28T17:20:00+00:00,scheduled,755 Battery Avenue,41149,Atlanta,USA,S,3ca8b577-5844-42ed-81a5-bd5d5cbe350c,33.8877057,-84.4710917,Atlanta,SunTrust Park,outdoor,GA,grass,30339,76,Light rain shower,56,63,2019-04-28T11:38:15.000Z,70,W,8
4,PIT,0,0,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,13,Pittsburgh,Pirates,2.585,Trevor,e40d5150-268a-4af2-99cc-dae6e3e1a016,34,Williams,1.0,Trevor,1.0,0,12,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,SportsNet LA,full,D,False,1,LAD,0,0,ef64da7f-cfaf-4300-87b0-9313386b977c,11,Los Angeles,Dodgers,,Richard,d9936d13-479d-43e0-a845-c74e17046622,44,Hill,,Rich,,0,18,ef64da7f-cfaf-4300-87b0-9313386b977c,44ae614a-b94c-4fea-ba74-d73e04026834,2019-04-28T20:10:00+00:00,scheduled,1000 Vin Scully Avenue,56000,Los Angeles,USA,NE,66a19c3d-24fe-477d-bee7-c6ef1b98352f,34.0745409,-118.2408881,Los Angeles,Dodger Stadium,outdoor,CA,grass,90012,33,Cloudy,51,48,2019-04-28T11:38:12.000Z,71,S,6
5,TB,0,0,bdc11650-6f74-49c4-875e-778aeb7632d9,9,Tampa Bay,Rays,1.534,Tyler,81125861-72f8-461c-b7c2-46fc460a7115,20,Glasnow,0.0,Tyler,4.0,0,17,bdc11650-6f74-49c4-875e-778aeb7632d9,MLB Network,full,D,False,1,BOS,0,0,93941372-eb4c-4c40-aced-fe3267174393,16,Boston,Red Sox,7.435,Christopher,66c43b7f-760a-446c-9f50-671915570227,41,Sale,4.0,Chris,0.0,0,11,93941372-eb4c-4c40-aced-fe3267174393,05f2a742-4352-4e46-a7df-07eec463ce2d,2019-04-28T17:05:00+00:00,scheduled,4 Yawkey Way,37731,Boston,USA,NE,b27b0dc5-c2c5-401d-b8b9-a6a2dbc225e5,42.34584359999999,-71.09878189999999,Boston,Fenway Park,outdoor,MA,grass,02215,62,Light drizzle,34,52,2019-04-28T11:38:10.000Z,51,W,7
6,CLE,0,0,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,11,Cleveland,Indians,6.0,Carlos,683ac24d-7777-478b-8417-d0eb3cb04e83,59,Carrasco,2.0,Carlos,2.0,0,15,80715d0d-0d2a-450f-a970-1b9a3b18c7e7,ESPN,full,N,False,1,HOU,0,0,eb21dadd-8f10-4095-8bf3-dfb3b779f107,11,Houston,Astros,3.578,Wade,d8326a8e-0f8a-49dc-b3a9-610ddfdc53b7,20,Miley,2.0,Wade,1.0,0,16,eb21dadd-8f10-4095-8bf3-dfb3b779f107,c2e9a77b-acf5-40ee-a2d8-a23536146d6b,2019-04-28T23:05:00+00:00,scheduled,501 Crawford Street,41168,Houston,USA,N,f0600f04-1386-4c61-a412-804960c46cb1,29.7577058,-95.35453989999999,Houston,Minute Maid Park,retractable,TX,grass,77002,0,Sunny,61,55,2019-04-28T11:38:14.000Z,79,SSE,13
7,SD,0,0,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,11,San Diego,Padres,4.333,Joseph,c045bfe8-924c-4078-89e0-1d959c39a088,37,Lucchesi,2.0,Joey,3.0,0,16,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,MASN,full,D,False,1,WSH,0,0,d89bed32-3aee-4407-99e3-4103641b999a,14,Washington,Nationals,4.339,Jeremy,09bb7528-d8a1-4d91-b28e-53a35ce3f678,58,Hellickson,0.0,Jeremy,2.0,0,11,d89bed32-3aee-4407-99e3-4103641b999a,20577a4a-f6cf-4da8-bdf8-545e4c0db42d,2019-04-28T17:35:00+00:00,scheduled,1500 South Capitol Street SE,41313,Washington,USA,N,bb062fb1-e268-412e-b3d2-2ddb6acc1822,38.8730933,-77.0075727,Washington,Nationals Park,outdoor,DC,grass,20003,47,Partly cloudy,54,74,2019-04-28T11:38:11.000Z,62,WSW,11
8,LAA,0,0,4f735188-37c8-473d-ae32-1f7e34ccf892,17,Los Angeles,Angels,8.027,Matthew,a05b7bca-ea4b-4e56-99de-293371efc979,33,Harvey,2.0,Matt,0.0,0,11,4f735188-37c8-473d-ae32-1f7e34ccf892,FS-KC,full,D,False,1,KC,0,0,833a51a9-0d84-410f-bd77-da08c3e5e26e,18,Kansas City,Royals,5.625,David,7908ee05-a767-4085-88b1-3cb029c9e5eb,21,Bailey,2.0,Homer,2.0,0,9,833a51a9-0d84-410f-bd77-da08c3e5e26e,4bc1cb4b-8d2e-4678-a51a-3c4f32a67741,2019-04-28T18:15:00+00:00,scheduled,One Royal Way,37903,Kansas City,USA,NE,6fca95c9-7f2c-4acb-a9f3-02ef96340d2a,39.051465,-94.48028889999999,Kansas City,Kauffman Stadium,outdoor,MO,grass,64129,7,Partly cloudy,38,57,2019-04-28T11:38:12.000Z,53,SE,11
9,DET,0,0,575c19b7-4052-41c2-9f0a-1c5813d02f99,13,Detroit,Tigers,3.16,Matthew,c3e45b7f-c631-472c-ac33-5377df84302d,48,Boyd,1.0,Matthew,2.0,0,12,575c19b7-4052-41c2-9f0a-1c5813d02f99,NBCS-CHI,full,D,False,1,CWS,0,0,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,14,Chicago,White Sox,7.461,Reynaldo,942dc231-6052-4410-9bad-e94e465bc914,40,López,3.0,Reynaldo,1.0,0,10,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,11a4306c-2fe4-413e-9e55-2b4f093f166d,2019-04-28T18:10:00+00:00,scheduled,333 West 35th Street,40615,Chicago,USA,SE,4a550fc1-c03d-4294-b63a-30ff197bedc4,41.8300662,-87.63483300000001,Chicago,Guaranteed Rate Field,outdoor,IL,grass,60616,4,Partly cloudy,28,60,2019-04-28T11:38:11.000Z,42,E,7
