,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
2,NYM,0,8.5,8.0,14,PUSH,WSH,5,8.0,4.5,13.0,10.538069932477946,OVER,2019,2019-05-14
3,BAL,0,8.0,8.5,14,PUSH,NYY,5,8.5,7.0,15.0,10.687803026308194,OVER,2019,2019-05-14
4,OAK,100,6.5,9.0,14,UNDER,SEA,5,7.0,10.5,4.0,9.559736882340783,UNDER,2019,2019-05-14
5,TEX,-100,4.5,9.5,14,OVER,KC,5,16.0,13.5,9.0,10.063787443635796,UNDER,2019,2019-05-14
6,COL,100,4.0,8.5,14,OVER,BOS,5,9.0,7.0,11.0,10.136601875785713,OVER,2019,2019-05-14
7,PIT,100,3.5,9.0,14,UNDER,ARI,5,8.0,10.5,7.0,9.895405484415333,UNDER,2019,2019-05-14
8,LAA,100,2.5,9.0,14,UNDER,MIN,5,7.0,10.5,8.0,9.983851168958482,UNDER,2019,2019-05-14
9,TOR,100,2.0,7.5,14,OVER,SF,5,10.0,3.0,5.0,9.778810777060645,OVER,2019,2019-05-14
10,CHC,100,1.5,9.5,14,UNDER,CIN,5,4.0,13.5,12.0,10.442639792587462,UNDER,2019,2019-05-14
11,SD,100,1.0,7.0,14,OVER,LAD,5,9.0,2.0,3.0,9.4235857083664,OVER,2019,2019-05-14
12,MIL,100,1.0,8.5,14,UNDER,PHI,5,7.0,7.0,6.0,9.779421394058446,UNDER,2019,2019-05-14
13,STL,-100,0.5,9.0,14,OVER,ATL,5,17.0,10.5,10.0,10.131907992122237,UNDER,2019,2019-05-14
14,TB,-100,0.0,6.5,14,UNDER,MIA,5,4.0,1.0,1.0,8.504912055494948,OVER,2019,2019-05-14
0,SEA,100,8.0,9.5,19,UNDER,LAA,4,8.0,10.0,2.0,8.999341073821446,UNDER,2019,2019-04-19
1,LAD,100,7.0,9.5,19,UNDER,MIL,4,8.0,10.0,3.0,9.530137903118431,UNDER,2019,2019-04-19
2,SF,-100,6.5,7.0,19,UNDER,PIT,4,5.0,1.5,8.0,9.897171024541915,OVER,2019,2019-04-19
3,ATL,0,5.5,7.5,19,PUSH,CLE,4,7.5,3.5,9.0,9.918687205798943,OVER,2019,2019-04-19
4,ARI,-100,4.5,7.0,19,UNDER,CHC,4,6.0,1.5,6.0,9.876249814920467,OVER,2019,2019-04-19
5,CWS,100,4.0,8.5,19,OVER,DET,4,10.0,7.0,11.0,10.045515766336916,OVER,2019,2019-04-19
6,NYM,0,3.0,9.0,19,PUSH,STL,4,9.0,8.0,5.0,9.872729943980435,UNDER,2019,2019-04-19
7,WSH,100,2.5,7.5,19,UNDER,MIA,4,5.0,3.5,1.0,8.95159819562025,UNDER,2019,2019-04-19
8,CIN,-100,1.5,8.0,19,UNDER,SD,4,5.0,5.5,7.0,9.896816629073227,OVER,2019,2019-04-19
9,TOR,100,1.5,8.0,19,UNDER,OAK,4,6.0,5.5,4.0,9.627203014417844,UNDER,2019,2019-04-19
10,HOU,-100,0.0,9.5,19,UNDER,TEX,4,9.0,10.0,10.0,9.941575217992076,OVER,2019,2019-04-19
0,CLE,100,3.5,7.5,12,OVER,KC,4,9.0,1.5,5.0,9.963979203755176,OVER,2019,2019-04-12
1,LAA,100,2.0,10.5,12,UNDER,CHC,4,6.0,8.0,6.0,10.024122818236824,UNDER,2019,2019-04-12
2,HOU,-100,2.0,9.0,12,OVER,SEA,4,16.0,4.0,2.0,8.962337395399008,UNDER,2019,2019-04-12
3,PHI,-100,2.0,8.5,12,OVER,MIA,4,10.0,3.0,1.0,8.459506431947483,UNDER,2019,2019-04-12
4,CWS,100,1.5,9.5,12,OVER,NYY,4,15.0,5.5,7.0,10.302270681396603,OVER,2019,2019-04-12
5,COL,-100,1.5,7.5,12,UNDER,SF,4,5.0,1.5,3.0,9.817153980252558,OVER,2019,2019-04-12
6,NYM,100,1.5,9.5,12,UNDER,ATL,4,8.0,5.5,4.0,9.906329851098144,UNDER,2019,2019-04-12
7,BAL,0,1.0,10.0,12,PUSH,BOS,4,10.0,7.0,8.0,10.490832301183351,OVER,2019,2019-04-12
8,OAK,100,0.0,11.0,12,OVER,TEX,4,14.0,9.0,9.0,10.73839465819927,OVER,2019,2019-04-12
0,MIL,100,4.0,8.0,13,OVER,PHI,5,11.0,1.0,5.0,9.834124000634002,OVER,2019,2019-05-13
1,PIT,-100,4.0,9.0,13,OVER,ARI,5,12.0,5.0,1.0,9.141678651528895,UNDER,2019,2019-05-13
2,OAK,-100,2.0,9.0,13,OVER,SEA,5,11.0,5.0,3.0,9.603241622253734,UNDER,2019,2019-05-13
3,HOU,100,1.5,8.5,13,OVER,DET,5,9.0,2.5,4.0,9.607909877215748,OVER,2019,2019-05-13
4,LAA,0,1.0,9.0,13,PUSH,MIN,5,9.0,5.0,6.0,10.413971057444897,OVER,2019,2019-05-13
5,CLE,100,0.5,8.5,13,UNDER,CWS,5,7.0,2.5,2.0,9.48842763129285,UNDER,2019,2019-05-13
