,game.away.abbr,game.away.current_pitcher.era,game.away.current_pitcher.first_name,game.away.current_pitcher.id,game.away.current_pitcher.jersey_number,game.away.current_pitcher.last_name,game.away.current_pitcher.loss,game.away.current_pitcher.preferred_name,game.away.current_pitcher.win,game.away.errors,game.away.events,game.away.hits,game.away.id,game.away.loss,game.away.market,game.away.name,game.away.probable_pitcher.era,game.away.probable_pitcher.first_name,game.away.probable_pitcher.id,game.away.probable_pitcher.jersey_number,game.away.probable_pitcher.last_name,game.away.probable_pitcher.loss,game.away.probable_pitcher.preferred_name,game.away.probable_pitcher.win,game.away.runs,game.away.scoring,game.away.starting_pitcher.era,game.away.starting_pitcher.first_name,game.away.starting_pitcher.id,game.away.starting_pitcher.jersey_number,game.away.starting_pitcher.last_name,game.away.starting_pitcher.loss,game.away.starting_pitcher.preferred_name,game.away.starting_pitcher.win,game.away.win,game.away_team,game.broadcast.network,game.coverage,game.day_night,game.double_header,game.game_number,game.home.abbr,game.home.current_pitcher.era,game.home.current_pitcher.first_name,game.home.current_pitcher.id,game.home.current_pitcher.jersey_number,game.home.current_pitcher.last_name,game.home.current_pitcher.loss,game.home.current_pitcher.preferred_name,game.home.current_pitcher.win,game.home.errors,game.home.hits,game.home.id,game.home.loss,game.home.market,game.home.name,game.home.probable_pitcher.era,game.home.probable_pitcher.first_name,game.home.probable_pitcher.id,game.home.probable_pitcher.jersey_number,game.home.probable_pitcher.last_name,game.home.probable_pitcher.loss,game.home.probable_pitcher.preferred_name,game.home.probable_pitcher.win,game.home.runs,game.home.scoring,game.home.starting_pitcher.era,game.home.starting_pitcher.first_name,game.home.starting_pitcher.id,game.home.starting_pitcher.jersey_number,game.home.starting_pitcher.last_name,game.home.starting_pitcher.loss,game.home.starting_pitcher.preferred_name,game.home.starting_pitcher.win,game.home.win,game.home_team,game.id,game.outcome.count.balls,game.outcome.count.half_over,game.outcome.count.inning,game.outcome.count.inning_half,game.outcome.count.outs,game.outcome.count.strikes,game.outcome.current_inning,game.outcome.current_inning_half,game.outcome.hitter.ab_over,game.outcome.hitter.first_name,game.outcome.hitter.id,game.outcome.hitter.jersey_number,game.outcome.hitter.last_name,game.outcome.hitter.outcome_id,game.outcome.hitter.preferred_name,game.outcome.pitcher.first_name,game.outcome.pitcher.id,game.outcome.pitcher.jersey_number,game.outcome.pitcher.last_name,game.outcome.pitcher.pitch_speed,game.outcome.pitcher.pitch_type,game.outcome.pitcher.pitch_x,game.outcome.pitcher.pitch_y,game.outcome.pitcher.pitch_zone,game.outcome.pitcher.preferred_name,game.outcome.runners,game.outcome.type,game.scheduled,game.status,game.venue.address,game.venue.capacity,game.venue.city,game.venue.country,game.venue.field_orientation,game.venue.id,game.venue.location.lat,game.venue.location.lng,game.venue.market,game.venue.name,game.venue.stadium_type,game.venue.state,game.venue.surface,game.venue.zip,game.weather.current_conditions.cloud_cover,game.weather.current_conditions.condition,game.weather.current_conditions.dew_point_f,game.weather.current_conditions.humidity,game.weather.current_conditions.obs_time,game.weather.current_conditions.temp_f,game.weather.current_conditions.wind.direction,game.weather.current_conditions.wind.speed_mph,game.weather.forecast.cloud_cover,game.weather.forecast.condition,game.weather.forecast.dew_point_f,game.weather.forecast.humidity,game.weather.forecast.obs_time,game.weather.forecast.temp_f,game.weather.forecast.wind.direction,game.weather.forecast.wind.speed_mph
0,BOS,,,,,,,,,0,,0,93941372-eb4c-4c40-aced-fe3267174393,17,Boston,Red Sox,3.6,David,875b903a-aabd-424e-b70e-1aa46a7334bc,10,Price,2,David,1,0,,,,,,,,,,14,93941372-eb4c-4c40-aced-fe3267174393,MLB Network,full,N,False,1,CWS,,,,,,,,,0,0,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,15,Chicago,White Sox,5.304,Lucas,1a1311e0-465c-45de-9f94-78e52fc067c3,27,Giolito,1,Lucas,2,0,,,,,,,,,,13,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,1323e2c8-e45c-40b6-82a8-7da82efdab89,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-03T00:10:00+00:00,scheduled,333 West 35th Street,40615,Chicago,USA,SE,4a550fc1-c03d-4294-b63a-30ff197bedc4,41.8300662,-87.63483300000001,Chicago,Guaranteed Rate Field,outdoor,IL,grass,60616,,,,,,,,,100,Light rain shower,45,85,2019-05-02T11:54:23.000Z,49,NNE,9
1,TB,,,,,,,,,0,,0,bdc11650-6f74-49c4-875e-778aeb7632d9,11,Tampa Bay,Rays,2.755,Charles,ff772241-8fdd-488c-a81e-49b44ce600fc,50,Morton,0,Charlie,3,0,,,,,,,,,,19,bdc11650-6f74-49c4-875e-778aeb7632d9,FS-KC,full,D,False,1,KC,,,,,,,,,0,0,833a51a9-0d84-410f-bd77-da08c3e5e26e,20,Kansas City,Royals,5.4,Daniel,f9a0a01f-983d-4747-b545-04675281d914,41,Duffy,1,Danny,0,0,,,,,,,,,,11,833a51a9-0d84-410f-bd77-da08c3e5e26e,03698392-f645-4f2b-9bb7-3613ef4e7ad3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-02T18:15:00+00:00,scheduled,One Royal Way,37903,Kansas City,USA,NE,6fca95c9-7f2c-4acb-a9f3-02ef96340d2a,39.051465,-94.48028889999999,Kansas City,Kauffman Stadium,outdoor,MO,grass,64129,,,,,,,,,76,Patchy rain possible,51,67,2019-05-02T11:54:22.000Z,62,NNE,11
2,CIN,4.5,Tyler,122f24b5-913e-4abd-90ca-62b1d7519665,30,Mahle,3.0,Tyler,0.0,0,,2,c874a065-c115-4e7d-b0f0-235584fb0e6f,17,Cincinnati,Reds,4.5,Tyler,122f24b5-913e-4abd-90ca-62b1d7519665,30,Mahle,3,Tyler,0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 1, 'errors': 1, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}]",4.5,Tyler,122f24b5-913e-4abd-90ca-62b1d7519665,30,Mahle,3.0,Tyler,0.0,13,c874a065-c115-4e7d-b0f0-235584fb0e6f,SNY,full,D,False,1,NYM,6.353,Noah,0d19def3-bd18-473c-b6f8-5b92b017f27f,34,Syndergaard,3.0,Noah,1.0,1,2,f246a5e5-afdb-479c-9aaa-c68beeda7af6,15,New York,Mets,6.353,Noah,0d19def3-bd18-473c-b6f8-5b92b017f27f,34,Syndergaard,3,Noah,1,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 2, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 'X', 'hits': 'X', 'errors': 'X', 'type': 'inning'}]",6.353,Noah,0d19def3-bd18-473c-b6f8-5b92b017f27f,34,Syndergaard,3.0,Noah,1.0,15,f246a5e5-afdb-479c-9aaa-c68beeda7af6,41d81b4d-0a17-4d4a-9502-de3bc430ca16,0.0,False,3.0,T,2.0,2.0,3.0,T,True,Jesse,e25f4bdb-6de3-4628-930f-dc860183fc0b,33,Winker,oGO,Jesse,Noah,0d19def3-bd18-473c-b6f8-5b92b017f27f,34,Syndergaard,98.0,FA,-76.0,73.0,1.0,Noah,,pitch,2019-05-02T16:10:00+00:00,inprogress,123-01 Roosevelt Avenue,41922,"Flushing, Queens",USA,NE,265c7d6c-427a-4b8a-8def-392c41954bec,40.7564124,-73.84589369999999,New York,Citi Field,outdoor,NY,grass,11368,75.0,Haze,54.0,70.0,2019-05-02T16:47:57.000Z,64.0,ENE,7.0,75,Haze,54,70,2019-05-02T16:33:04.000Z,64,ENE,7
3,STL,,,,,,,,,0,,0,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,10,St. Louis,Cardinals,5.625,Dakota,fd954c71-a360-41d8-846e-7faf831b6256,43,Hudson,1,Dakota,2,0,,,,,,,,,,20,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,MLB Network,full,D,False,1,WSH,,,,,,,,,0,0,d89bed32-3aee-4407-99e3-4103641b999a,17,Washington,Nationals,3.823,Stephen,8df4f3bd-61f2-4fbf-8266-80ba7e15dc2d,37,Strasburg,1,Stephen,2,0,,,,,,,,,,12,d89bed32-3aee-4407-99e3-4103641b999a,beed304d-aad0-4150-97b0-fd73c8900216,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-02T20:05:00+00:00,scheduled,1500 South Capitol Street SE,41313,Washington,USA,N,bb062fb1-e268-412e-b3d2-2ddb6acc1822,38.8730933,-77.0075727,Washington,Nationals Park,outdoor,DC,grass,20003,,,,,,,,,81,Thundery outbreaks possible,61,41,2019-05-02T11:54:24.000Z,88,WSW,4
4,COL,,,,,,,,,0,,0,29dd9a87-5bcc-4774-80c3-7f50d985068b,17,Colorado,Rockies,3.649,Jonathan,106c933c-0203-4e5a-bd06-f8bc420b9b9f,55,Gray,3,Jon,2,0,,,,,,,,,,14,29dd9a87-5bcc-4774-80c3-7f50d985068b,MLB Network,full,D,False,1,MIL,,,,,,,,,0,0,dcfd5266-00ce-442c-bc09-264cd20cf455,15,Milwaukee,Brewers,7.132,Freddy,e28344cd-b08e-43ec-adcb-f6693203cf82,51,Peralta,0,Freddy,1,0,,,,,,,,,,17,dcfd5266-00ce-442c-bc09-264cd20cf455,1d7890aa-2d49-412a-8229-57d17d3e81a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-02T17:10:00+00:00,scheduled,One Brewers Way,41900,Milwaukee,USA,SE,3d13c8a7-283f-482b-ade1-441e25b6465d,43.02873899999999,-87.9713034,Milwaukee,Miller Park,retractable,WI,grass,53214,,,,,,,,,100,Moderate or heavy rain with thunder,45,96,2019-05-02T11:54:23.000Z,46,NNE,4
5,TOR,,,,,,,,,0,,0,1d678440-b4b1-4954-9b39-70afb3ebbcfa,16,Toronto,Blue Jays,2.323,Aaron,49be9f8e-db22-487e-8487-34c1eb01919b,41,Sanchez,1,Aaron,3,0,,,,,,,,,,14,1d678440-b4b1-4954-9b39-70afb3ebbcfa,FS-W,full,N,False,1,LAA,,,,,,,,,0,0,4f735188-37c8-473d-ae32-1f7e34ccf892,17,Los Angeles,Angels,3.15,Tyler,3cf592e7-2129-4bc3-93d2-cb54b4c621c1,45,Skaggs,2,Tyler,2,0,,,,,,,,,,14,4f735188-37c8-473d-ae32-1f7e34ccf892,29f361f2-ff72-471c-bf32-2d090ff3af0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-03T02:07:00+00:00,scheduled,2000 Gene Autry Way,45050,Anaheim,USA,NE,60732da9-ad03-4feb-9a36-aee3e98c7a2b,33.7996617,-117.8834384,Los Angeles,Angel Stadium of Anaheim,outdoor,CA,grass,92806,,,,,,,,,0,Sunny,52,44,2019-05-02T11:54:23.000Z,76,SW,8
6,HOU,,,,,,,,,0,,0,eb21dadd-8f10-4095-8bf3-dfb3b779f107,13,Houston,Astros,3.667,Bradley,cf5e31cf-9fe7-4153-bcda-0e21423b9ed0,41,Peacock,1,Brad,2,0,,,,,,,,,,18,eb21dadd-8f10-4095-8bf3-dfb3b779f107,MLB Network,full,D,False,1,MIN,,,,,,,,,0,0,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,10,Minnesota,Twins,2.975,José,56da7cb9-5975-46cd-8c63-96fce1245945,17,Berríos,1,José,4,0,,,,,,,,,,18,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,4b131c1b-f4e0-41bd-b7c3-2cc5b1f94149,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-02T17:10:00+00:00,scheduled,353 N 5th Street,38649,Minneapolis,USA,E,302f8dcd-eed6-4b83-8609-81548d51e955,44.98142199999999,-93.27847,Minnesota,Target Field,outdoor,MN,grass,55403,,,,,,,,,89,Cloudy,39,62,2019-05-02T11:54:24.000Z,53,WNW,6
7,SD,3.037,Matthew,35a8a1b4-88fe-41a7-becb-6fbf97db70f0,55,Strahm,2.0,Matt,0.0,0,"[{'hitter_id': '8189ef68-447c-4573-94d5-8d690abbcfbf', 'pitcher_id': '8d78e2bc-5462-4262-bc92-cb5cda1ba102', 'inning': 3, 'inning_half': 'T', 'type': 'pitch', 'hitter_outcome': 'aHR', 'id': '5b7c33e6-c191-41eb-9046-5492ec7c2cd8', 'runners': [{'starting_base': 0, 'first_name': 'Ian', 'last_name': 'Kinsler', 'preferred_name': 'Ian', 'jersey_number': '3', 'id': '8189ef68-447c-4573-94d5-8d690abbcfbf'}]}]",2,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,14,San Diego,Padres,3.037,Matthew,35a8a1b4-88fe-41a7-becb-6fbf97db70f0,55,Strahm,2,Matt,0,1,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 1, 'hits': 2, 'errors': 0, 'type': 'inning'}]",3.037,Matthew,35a8a1b4-88fe-41a7-becb-6fbf97db70f0,55,Strahm,2.0,Matt,0.0,17,d52d5339-cbdd-43f3-9dfa-a42fd588b9a3,FS-SE,full,D,False,1,ATL,6.0,Michael,8d78e2bc-5462-4262-bc92-cb5cda1ba102,26,Foltynewicz,0.0,Mike,0.0,0,2,12079497-e414-450a-8bf2-29f91de646bf,15,Atlanta,Braves,6.0,Michael,8d78e2bc-5462-4262-bc92-cb5cda1ba102,26,Foltynewicz,0,Mike,0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}]",6.0,Michael,8d78e2bc-5462-4262-bc92-cb5cda1ba102,26,Foltynewicz,0.0,Mike,0.0,15,12079497-e414-450a-8bf2-29f91de646bf,e924f22c-25b1-4dec-8af5-72479cf6227b,0.0,True,3.0,B,3.0,2.0,3.0,B,True,Dansby,5773d9a2-dfc1-458a-acac-67528d6618b3,7,Swanson,oGO,Dansby,Matthew,35a8a1b4-88fe-41a7-becb-6fbf97db70f0,55,Strahm,86.0,SL,35.0,-56.0,9.0,Matt,"[{'preferred_name': 'Ozzie', 'first_name': 'Ozhanio', 'last_name': 'Albies', 'jersey_number': '1', 'id': '35c471e8-d43a-46c7-ac59-1cbee21222f6', 'outcome_id': '', 'starting_base': 1, 'ending_base': 1, 'out': False}]",half_over,2019-05-02T16:10:00+00:00,inprogress,755 Battery Avenue,41149,Atlanta,USA,S,3ca8b577-5844-42ed-81a5-bd5d5cbe350c,33.8877057,-84.4710917,Atlanta,SunTrust Park,outdoor,GA,grass,30339,75.0,Partly cloudy,61.0,59.0,2019-05-02T16:45:56.000Z,77.0,SE,8.0,50,Partly cloudy,62,64,2019-05-02T16:16:24.000Z,75,E,4
