,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,ARI,PIT,4,22,9.82513121639135,7.5,5.0,1.5,OVER,3.5,16.0,OVER,100
1,MIN,HOU,4,22,8.918199047476207,9.5,3.0,5.5,UNDER,2.5,14.0,OVER,-100
2,PHI,NYM,4,22,8.239609201725719,8.5,1.0,3.5,UNDER,2.5,6.0,UNDER,100
3,KC,TB,4,22,8.767468054709338,7.5,2.0,1.5,OVER,0.5,9.0,OVER,100
4,NYY,LAA,4,22,9.600458581791356,8.5,4.0,3.5,OVER,0.5,7.0,UNDER,-100
5,CWS,BAL,4,22,10.124082792082415,9.5,6.0,5.5,OVER,0.5,14.0,OVER,100
6,WSH,COL,4,22,10.946307540009963,11.0,7.0,7.0,OVER,0.0,12.0,OVER,100
