,away,home,month,day,predicted.runs,bookie,outcome,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,game.result,bet.result
4,TOR,BOS,4,9,10.525556794281266,8.0,12,9.0,2.5,OVER,6.5,OVER,100
12,ATL,COL,4,9,9.842986036629263,10.5,8,4.0,9.0,UNDER,5.0,UNDER,100
5,WSH,PHI,4,9,10.039287680904922,8.0,16,6.0,2.5,OVER,3.5,OVER,100
2,MIA,CIN,4,9,10.34905642332207,8.5,14,8.0,5.0,OVER,3.0,OVER,100
6,OAK,BAL,4,9,9.854670633920206,9.5,15,5.0,8.0,UNDER,3.0,OVER,-100
9,MIL,LAA,4,9,8.852476112768233,8.5,19,2.0,5.0,UNDER,3.0,OVER,-100
3,TEX,ARI,4,9,9.306132533436486,8.5,9,3.0,5.0,UNDER,2.0,OVER,-100
8,SD,SF,4,9,8.686914344553392,7.5,9,1.0,1.0,OVER,0.0,OVER,100
11,SEA,KC,4,9,10.216052229612872,9.0,9,7.0,7.0,OVER,0.0,PUSH,0
