,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,STL,WSH,4,29,10.266921775483953,8.5,7.0,4.0,OVER,3.0,9.0,OVER,100
1,COL,MIL,4,29,9.461629857628349,9.0,4.0,7.0,UNDER,3.0,6.0,UNDER,100
2,HOU,MIN,4,29,9.423874503311428,8.5,3.0,4.0,UNDER,1.0,1.0,UNDER,100
3,OAK,BOS,4,29,10.457393800002832,9.0,8.0,7.0,OVER,1.0,13.0,OVER,100
4,SD,ATL,4,29,9.889564841222466,9.0,6.0,7.0,UNDER,1.0,4.0,UNDER,100
5,BAL,CWS,4,29,9.795848265530843,8.5,5.0,4.0,OVER,1.0,8.0,UNDER,-100
6,CIN,NYM,4,29,8.713738116316456,7.5,1.0,1.5,UNDER,0.5,9.0,OVER,-100
7,LAD,SF,4,29,9.097004896000096,7.5,2.0,1.5,OVER,0.5,5.0,UNDER,-100
