,away,home,month,day,predicted.runs,bookie,outcome,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,game.result,bet.result
10,LAA,SEA,4,2,9.318558806487282,8.5,3,2.0,6.0,UNDER,4.0,UNDER,100
8,MIN,KC,4,2,10.13377304160098,7.0,9,4.0,2.0,OVER,2.0,OVER,100
0,BOS,OAK,4,2,10.409998963373491,8.0,1,6.0,5.0,OVER,1.0,UNDER,-100
2,ARI,SD,4,2,10.159769186231998,7.5,13,5.0,4.0,OVER,1.0,OVER,100
4,SF,LAD,4,2,9.724473460028243,7.0,11,3.0,2.0,OVER,1.0,OVER,100
7,COL,TB,4,2,8.504596560254383,7.0,4,1.0,2.0,UNDER,1.0,UNDER,100
