,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,PIT,WSH,4,14,10.480780387396386,7.5,12.0,3.5,OVER,8.5,7.0,UNDER,-100
1,TB,TOR,4,14,8.786243924389854,8.0,1.0,6.5,UNDER,5.5,12.0,OVER,-100
2,DET,MIN,4,14,10.096062853879156,7.5,8.0,3.5,OVER,4.5,10.0,OVER,100
3,SD,ARI,4,14,9.22564155677765,8.0,2.0,6.5,UNDER,4.5,12.0,OVER,-100
4,COL,SF,4,14,9.895756409046099,7.0,4.0,1.0,OVER,3.0,4.0,UNDER,-100
5,NYM,ATL,4,14,9.947539864170066,8.5,5.0,8.0,UNDER,3.0,10.0,OVER,-100
6,OAK,TEX,4,14,10.380128989043657,10.0,9.0,12.0,UNDER,3.0,15.0,OVER,-100
7,MIL,LAD,4,14,10.057031559844924,9.0,7.0,9.5,UNDER,2.5,8.0,UNDER,100
8,CLE,KC,4,14,10.054388960549174,7.5,6.0,3.5,OVER,2.5,17.0,OVER,100
9,HOU,SEA,4,14,9.324432599632779,7.5,3.0,3.5,UNDER,0.5,5.0,UNDER,100
10,CWS,NYY,4,14,10.406644803424923,9.0,10.0,9.5,OVER,0.5,7.0,UNDER,-100
11,BAL,BOS,4,14,10.435093808397614,9.5,11.0,11.0,OVER,0.0,4.0,UNDER,-100
