,away,home,month,day,predicted.runs,bookie,outcome,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,game.result,bet.result
7,SEA,LAA,4,19,9.032298173206861,9.5,8.0,2.0,10.0,UNDER,8.0,UNDER,100
2,LAD,MIL,4,19,9.363396401748826,9.5,8.0,3.0,10.0,UNDER,7.0,UNDER,100
10,SF,PIT,4,19,9.82620195663931,7.0,5.0,6.0,1.5,OVER,4.5,UNDER,-100
1,NYM,STL,4,19,9.646644846595144,9.0,9.0,4.0,8.0,UNDER,4.0,PUSH,0
3,ATL,CLE,4,19,9.857084883641654,7.5,7.5,7.0,3.5,OVER,3.5,PUSH,0
6,ARI,CHC,4,19,9.815648651568317,7.0,6.0,5.0,1.5,OVER,3.5,UNDER,-100
12,CIN,SD,4,19,9.981426921318409,8.0,5.0,9.0,5.5,OVER,3.5,UNDER,-100
5,CWS,DET,4,19,10.043652685210445,8.5,10.0,10.0,7.0,OVER,3.0,OVER,100
4,WSH,MIA,4,19,9.008481764586108,7.5,5.0,1.0,3.5,UNDER,2.5,UNDER,100
14,TOR,OAK,4,19,9.858338983403257,8.0,6.0,8.0,5.5,OVER,2.5,UNDER,-100
11,HOU,TEX,4,19,10.063728064639195,9.5,5.0,11.0,10.0,OVER,1.0,UNDER,-100
