,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,TEX,OAK,4,24,9.232922954734633,9.5,3.0,9.5,UNDER,6.5,11.0,OVER,-100
1,MIL,STL,4,24,10.085905380782377,8.5,11.0,5.0,OVER,6.0,7.0,UNDER,-100
2,LAD,CHC,4,24,9.635765813740957,8.0,8.0,2.5,OVER,5.5,13.0,OVER,100
3,ATL,CIN,4,24,9.425439582698512,9.5,5.0,9.5,UNDER,4.5,4.0,UNDER,100
4,NYY,LAA,4,24,8.488372133095554,8.5,1.0,5.0,UNDER,4.0,11.0,OVER,-100
5,CWS,BAL,4,24,9.503483568056666,9.5,6.0,9.5,UNDER,3.5,7.0,UNDER,100
6,MIA,CLE,4,24,9.863962466813355,9.0,10.0,7.0,OVER,3.0,8.0,UNDER,-100
7,KC,TB,4,24,9.39055319166772,7.0,4.0,1.0,OVER,3.0,12.0,OVER,100
8,SEA,SD,4,24,9.525422535735935,8.5,7.0,5.0,OVER,2.0,1.0,UNDER,-100
9,ARI,PIT,4,24,9.150006116576082,8.0,2.0,2.5,UNDER,0.5,13.0,OVER,-100
10,DET,BOS,4,24,9.65089591237575,9.5,9.0,9.5,UNDER,0.5,15.0,OVER,-100
11,WSH,COL,4,24,10.589398923696944,10.5,12.0,12.0,OVER,0.0,14.0,OVER,100
