,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIN,HOU,4,23,8.528491398255085,9.5,1.0,12.0,UNDER,11.0,14.0,OVER,-100
1,MIA,CLE,4,23,10.536816296808794,7.5,12.0,1.5,OVER,10.5,4.0,UNDER,-100
2,DET,BOS,4,23,10.097241167386963,7.5,10.0,1.5,OVER,8.5,6.0,UNDER,-100
3,PHI,NYM,4,23,8.710576088950923,8.5,2.0,8.0,UNDER,6.0,9.0,OVER,-100
4,NYY,LAA,4,23,9.02082407296052,8.5,3.0,8.0,UNDER,5.0,12.0,OVER,-100
5,SF,TOR,4,23,9.103774412013113,8.5,4.0,8.0,UNDER,4.0,13.0,OVER,-100
6,TEX,OAK,4,23,9.879675825110619,8.0,8.0,4.5,OVER,3.5,16.0,OVER,100
7,ATL,CIN,4,23,9.91374916576249,9.5,9.0,12.0,UNDER,3.0,13.0,OVER,-100
8,LAD,CHC,4,23,9.630683734265283,8.0,7.0,4.5,OVER,2.5,9.0,OVER,100
9,ARI,PIT,4,23,9.367016526837773,8.0,6.0,4.5,OVER,1.5,3.0,UNDER,-100
10,DET,BOS,4,23,10.154518706886812,9.0,11.0,10.0,OVER,1.0,6.0,UNDER,-100
11,CWS,BAL,4,23,10.593253935811811,9.5,13.0,12.0,OVER,1.0,10.0,OVER,100
12,SEA,SD,4,23,9.28681629047565,8.0,5.0,4.5,OVER,0.5,9.0,OVER,100
