,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,MIA,PHI,4,28,10.308422447959023,7.5,13.0,2.0,OVER,11.0,6.0,UNDER,-100
1,CIN,STL,4,28,9.746822480894377,7.5,11.0,2.0,OVER,9.0,7.0,UNDER,-100
2,TEX,SEA,4,28,8.686038266690149,9.0,2.0,10.5,UNDER,8.5,15.0,OVER,-100
3,OAK,TOR,4,28,8.91782004589782,9.5,5.0,12.5,UNDER,7.5,9.0,UNDER,100
4,CHC,ARI,4,28,8.675813437038826,8.5,1.0,7.5,UNDER,6.5,11.0,OVER,-100
5,COL,ATL,4,28,9.335802977575968,9.0,6.0,10.5,UNDER,4.5,15.0,OVER,-100
6,CLE,HOU,4,28,8.689090397440934,8.5,3.0,7.5,UNDER,4.5,5.0,UNDER,100
7,DET,CWS,4,28,9.663545125427328,8.0,9.0,4.5,OVER,4.5,5.0,UNDER,-100
8,BAL,MIN,4,28,10.119429747154275,8.5,12.0,7.5,OVER,4.5,5.0,UNDER,-100
9,TB,BOS,4,28,9.441692479205962,8.0,7.0,4.5,OVER,2.5,7.0,UNDER,-100
10,LAA,KC,4,28,9.72677876499552,9.5,10.0,12.5,UNDER,2.5,10.0,OVER,-100
11,NYY,SF,4,28,8.773849715039557,7.5,4.0,2.0,OVER,2.0,16.0,OVER,100
12,SD,WSH,4,28,9.502646870151857,8.5,8.0,7.5,OVER,0.5,13.0,OVER,100
