,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,CLE,KC,4,12,9.963979203755176,7.5,5.0,1.5,OVER,3.5,9.0,OVER,100
1,LAA,CHC,4,12,10.024122818236824,10.5,6.0,8.0,UNDER,2.0,6.0,UNDER,100
2,HOU,SEA,4,12,8.962337395399008,9.0,2.0,4.0,UNDER,2.0,16.0,OVER,-100
3,PHI,MIA,4,12,8.459506431947483,8.5,1.0,3.0,UNDER,2.0,10.0,OVER,-100
4,CWS,NYY,4,12,10.302270681396603,9.5,7.0,5.5,OVER,1.5,15.0,OVER,100
5,COL,SF,4,12,9.817153980252558,7.5,3.0,1.5,OVER,1.5,5.0,UNDER,-100
6,NYM,ATL,4,12,9.906329851098144,9.5,4.0,5.5,UNDER,1.5,8.0,UNDER,100
7,BAL,BOS,4,12,10.490832301183351,10.0,8.0,7.0,OVER,1.0,10.0,PUSH,0
8,OAK,TEX,4,12,10.73839465819927,11.0,9.0,9.0,OVER,0.0,14.0,OVER,100
