,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,HOU,MIN,4,30,10.134610595576586,7.5,11.0,3.0,OVER,8.0,11.0,OVER,100
1,CHC,SEA,4,30,8.793444771283342,9.0,4.0,11.0,UNDER,7.0,11.0,OVER,-100
2,TB,KC,4,30,10.079022950379171,8.0,10.0,4.5,OVER,5.5,8.0,PUSH,0
3,NYY,ARI,4,30,8.749796909250383,8.5,3.0,8.0,UNDER,5.0,4.0,UNDER,100
4,BAL,CWS,4,30,10.28055434351891,8.5,12.0,8.0,OVER,4.0,8.5,PUSH,0
5,LAD,SF,4,30,8.934082719607476,7.0,5.0,1.5,OVER,3.5,7.0,PUSH,0
6,OAK,BOS,4,30,10.020003384784387,9.5,9.0,12.5,UNDER,3.5,6.0,UNDER,100
7,CIN,NYM,4,30,8.28592781972651,8.0,2.0,4.5,UNDER,2.5,7.0,UNDER,100
8,SD,ATL,4,30,9.049529970628221,8.5,6.0,8.0,UNDER,2.0,7.0,UNDER,100
9,STL,WSH,4,30,10.573568891111693,9.5,14.0,12.5,OVER,1.5,5.0,UNDER,-100
10,COL,MIL,4,30,9.07848775020908,8.5,7.0,8.0,UNDER,1.0,7.0,UNDER,100
11,PIT,TEX,4,30,10.302101339062752,11.0,13.0,14.0,UNDER,1.0,10.0,UNDER,100
12,CLE,MIA,4,30,8.083743650430472,7.0,1.0,1.5,UNDER,0.5,11.0,OVER,-100
13,DET,PHI,4,30,9.818077307642405,8.5,8.0,8.0,OVER,0.0,4.0,UNDER,-100
