,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity,outcome,game.result,bet.result
0,KC,NYY,4,21,10.235311168461644,7.5,10.0,4.0,OVER,6.0,13.0,OVER,100
1,SF,PIT,4,21,9.731213019351106,7.0,7.0,1.5,OVER,5.5,5.0,UNDER,-100
2,HOU,TEX,4,21,9.696044137915015,10.5,6.0,10.0,UNDER,4.0,21.0,OVER,-100
3,CIN,SD,4,21,9.8735973750015,7.5,8.0,4.0,OVER,4.0,7.0,UNDER,-100
4,TOR,OAK,4,21,9.609453396207273,8.0,3.0,6.5,UNDER,3.5,9.0,OVER,-100
5,NYM,STL,4,21,9.678874154164095,9.0,5.0,8.0,UNDER,3.0,10.0,OVER,-100
6,ATL,CLE,4,21,9.661906991651453,8.0,4.0,6.5,UNDER,2.5,16.0,OVER,-100
7,BOS,TB,4,21,9.388464098399627,7.5,2.0,4.0,UNDER,2.0,7.0,UNDER,100
8,WSH,MIA,4,21,8.519762572767192,7.0,1.0,1.5,UNDER,0.5,5.0,UNDER,100
9,SEA,LAA,4,21,10.107894844930069,9.5,9.0,9.0,OVER,0.0,14.0,OVER,100
